Bahá’í|Bahá’u’lláh|The Hidden Words |1|paragraph|3|Translated by Shoghi Effendi with the assistance of some English friends
Bahá’í|Bahá’u’lláh|The Hidden Words |2|paragraph|4|Part One
Bahá’í|Bahá’u’lláh|The Hidden Words |1|chapter|5|From the Arabic
Bahá’í|Bahá’u’lláh|The Hidden Words |1|paragraph|6|He Is the Glory of Glories
Bahá’í|Bahá’u’lláh|The Hidden Words |2|paragraph|7|This is that which hath descended from the realm of glory, uttered by the tongue of power and might, and revealed unto the Prophets of old. We have taken the inner essence thereof and clothed it in the garment of brevity, as a token of grace unto the righteous, that they may stand faithful unto the Covenant of God, may fulfill in their lives His trust, and in the realm of spirit obtain the gem of divine virtue.
Bahá’í|Bahá’u’lláh|The Hidden Words |3|paragraph|8|*
Bahá’í|Bahá’u’lláh|The Hidden Words |1|section|9|1
Bahá’í|Bahá’u’lláh|The Hidden Words |1|paragraph|10|O Son of Spirit! 
Bahá’í|Bahá’u’lláh|The Hidden Words |2|paragraph|11|My first counsel is this: Possess a pure, kindly and radiant heart, that thine may be a sovereignty ancient, imperishable and everlasting. 
Bahá’í|Bahá’u’lláh|The Hidden Words |2|section|12|2
Bahá’í|Bahá’u’lláh|The Hidden Words |1|paragraph|13|O Son of Spirit! 
Bahá’í|Bahá’u’lláh|The Hidden Words |2|paragraph|14|The best beloved of all things in My sight is Justice; turn not away therefrom if thou desirest Me, and neglect it not that I may confide in thee. By its aid thou shalt see with thine own eyes and not through the eyes of others, and shalt know of thine own knowledge and not through the knowledge of thy neighbor. Ponder this in thy heart; how it behooveth thee to be. Verily justice is My gift to thee and the sign of My loving-kindness. Set it then before thine eyes. 
Bahá’í|Bahá’u’lláh|The Hidden Words |3|section|15|3
Bahá’í|Bahá’u’lláh|The Hidden Words |1|paragraph|16|O Son of Man! 
Bahá’í|Bahá’u’lláh|The Hidden Words |2|paragraph|17|Veiled in My immemorial being and in the ancient eternity of My essence, I knew My love for thee; therefore I created thee, have engraved on thee Mine image and revealed to thee My beauty. 
Bahá’í|Bahá’u’lláh|The Hidden Words |4|section|18|4
Bahá’í|Bahá’u’lláh|The Hidden Words |1|paragraph|19|O Son of Man! 
Bahá’í|Bahá’u’lláh|The Hidden Words |2|paragraph|20|I loved thy creation, hence I created thee. Wherefore, do thou love Me, that I may name thy name and fill thy soul with the spirit of life. 
Bahá’í|Bahá’u’lláh|The Hidden Words |5|section|21|5
Bahá’í|Bahá’u’lláh|The Hidden Words |1|paragraph|22|O Son of Being! 
Bahá’í|Bahá’u’lláh|The Hidden Words |2|paragraph|23|Love Me, that I may love thee. If thou lovest Me not, My love can in no wise reach thee. Know this, O servant. 
Bahá’í|Bahá’u’lláh|The Hidden Words |6|section|24|6
Bahá’í|Bahá’u’lláh|The Hidden Words |1|paragraph|25|O Son of Being! 
Bahá’í|Bahá’u’lláh|The Hidden Words |2|paragraph|26|Thy Paradise is My love; thy heavenly home, reunion with Me. Enter therein and tarry not. This is that which hath been destined for thee in Our kingdom above and Our exalted dominion. 
Bahá’í|Bahá’u’lláh|The Hidden Words |7|section|27|7
Bahá’í|Bahá’u’lláh|The Hidden Words |1|paragraph|28|O Son of Man! 
Bahá’í|Bahá’u’lláh|The Hidden Words |2|paragraph|29|If thou lovest Me, turn away from thyself; and if thou seekest My pleasure, regard not thine own; that thou mayest die in Me and I may eternally live in thee. 
Bahá’í|Bahá’u’lláh|The Hidden Words |8|section|30|8
Bahá’í|Bahá’u’lláh|The Hidden Words |1|paragraph|31|O Son of Spirit! 
Bahá’í|Bahá’u’lláh|The Hidden Words |2|paragraph|32|There is no peace for thee save by renouncing thyself and turning unto Me; for it behooveth thee to glory in My name, not in thine own; to put thy trust in Me and not in thyself, since I desire to be loved alone and above all that is. 
Bahá’í|Bahá’u’lláh|The Hidden Words |9|section|33|9
Bahá’í|Bahá’u’lláh|The Hidden Words |1|paragraph|34|O Son of Being! 
Bahá’í|Bahá’u’lláh|The Hidden Words |2|paragraph|35|My love is My stronghold; he that entereth therein is safe and secure, and he that turneth away shall surely stray and perish. 
Bahá’í|Bahá’u’lláh|The Hidden Words |10|section|36|10
Bahá’í|Bahá’u’lláh|The Hidden Words |1|paragraph|37|O Son of Utterance! 
Bahá’í|Bahá’u’lláh|The Hidden Words |2|paragraph|38|Thou art My stronghold; enter therein that thou mayest abide in safety. My love is in thee, know it, that thou mayest find Me near unto thee. 
Bahá’í|Bahá’u’lláh|The Hidden Words |11|section|39|11
Bahá’í|Bahá’u’lláh|The Hidden Words |1|paragraph|40|O Son of Being! 
Bahá’í|Bahá’u’lláh|The Hidden Words |2|paragraph|41|Thou art My lamp and My light is in thee. Get thou from it thy radiance and seek none other than Me. For I have created thee rich and have bountifully shed My favor upon thee. 
Bahá’í|Bahá’u’lláh|The Hidden Words |12|section|42|12
